limit_samples,delta_att,success_rate,z_avg
15,2.5,0.06000000000000001,0.08512062286328928
30,2.5,0.05600000000000001,0.08190963583673674
75,2.5,0.066,0.09601290881888838
150,2.5,0.07,0.14948705588682937
300,2.5,0.07,0.24693492850724433
750,2.5,0.074,0.2910478682339666
1500,2.5,0.1,0.35983282249309256
3000,2.5,0.096,0.40639876231423483
7500,2.5,0.134,0.5336833907835222
15000,2.5,0.122,0.507897093402908
30000,2.5,0.132,0.6472870682058918
15,5.0,0.076,0.17281801025386856
30,5.0,0.06600000000000002,0.1737105371185354
75,5.0,0.088,0.28502560915498115
150,5.0,0.11200000000000002,0.4148198728084922
300,5.0,0.11599999999999999,0.4993243189784821
750,5.0,0.134,0.6369390575168377
1500,5.0,0.20399999999999996,0.857022059454979
3000,5.0,0.25,1.0125221228769778
7500,5.0,0.26,1.1451374694032768
15000,5.0,0.264,1.1496737731279565
30000,5.0,0.268,1.2300019299798681
15,7.5,0.06399999999999999,0.14118269945785897
30,7.5,0.09999999999999999,0.43215681764974806
75,7.5,0.178,0.7479487103185299
150,7.5,0.21000000000000002,1.0444276062986964
300,7.5,0.35600000000000004,1.640913595425107
750,7.5,0.39200000000000007,1.7018931266504065
1500,7.5,0.45599999999999996,1.6803651171576834
3000,7.5,0.546,2.32017954985054
7500,7.5,0.558,2.211370073784234
15000,7.5,0.5120000000000001,2.0326861342407017
30000,7.5,0.508,1.9223564098065864
15,10.0,0.14600000000000002,0.38528831859526436
30,10.0,0.346,1.6766579956244787
75,10.0,0.388,1.8829029869885645
150,10.0,0.502,2.6938141765611596
300,10.0,0.5740000000000001,3.0222040950405455
750,10.0,0.606,2.8523771640451057
1500,10.0,0.664,3.0589224785744795
3000,10.0,0.67,3.1111331533135087
7500,10.0,0.698,2.864927874044284
15000,10.0,0.672,2.7073510900698965
30000,10.0,0.6066666666666666,2.3863925167660143
